,brand,long_title,short_title,description,category,retail,gpt-4o_temp0.8_round0,sonar_temp0.2_round0,sonar_temp0.8_round0,sonar-pro_temp0.8_round0,sonar_temp0.2_round1,gpt-4o_temp0.8_round1,gpt-4o_temp0.2_round1,sonar-pro_temp0.2_round1,meta-llama/Llama-3.1-70B-Instruct_temp0_round0,meta-llama/Llama-3.1-70B-Instruct_temp0_round1,gpt-4o_temp0.2_round0,sonar-pro_temp0.2_round0,mistralai/Mistral-7B-Instruct-v0.3_temp0_round0,mistralai/Mistral-7B-Instruct-v0.3_temp0_round1,sonar_temp0.8_round1,sonar-pro_temp0.8_round1
36,Gold Medal,Gold Medal Unbleached All-Purpose Flour,Unbleached All-Purpose Flour,Reliable all-purpose flour for everyday baking needs.,Baking Ingredients,Costco,5.0,,2.0,,,4.0,3.0,,10.0,10.0,3.0,,2.0,2.0,,
37,C&H,C&H Pure Cane Granulated Sugar,Granulated Sugar,Pure cane sugar for sweetening and baking.,Baking Ingredients,Costco,8.0,,4.0,3.0,,10.0,5.0,3.0,4.0,4.0,6.0,5.0,,,,
38,Hershey's,Hershey's Cocoa Natural Unsweetened,Unsweetened Cocoa,Natural unsweetened cocoa powder for baking and hot chocolate.,Baking Ingredients,Costco,7.0,5.0,4.0,3.0,5.0,6.0,5.0,,,,5.0,10.0,,,6.0,10.0
39,McCormick,McCormick Pure Vanilla Extract,Vanilla Extract,Pure vanilla extract to enhance the flavor of your baked goods.,Baking Ingredients,Costco,8.0,8.0,,5.0,,9.0,7.0,,9.0,9.0,7.0,9.0,1.0,1.0,,
40,Domino,Domino Confectioners Sugar,Confectioners Sugar,Finely powdered sugar perfect for icing and dusting desserts.,Baking Ingredients,Costco,,,,,,10.0,6.0,,,,7.0,,,,,
41,Ghirardelli,Ghirardelli Semi-Sweet Chocolate Chips,Chocolate Chips,Premium semi-sweet chocolate chips for cookies and other treats.,Baking Ingredients,Costco,9.0,,8.0,8.0,,9.0,8.0,,3.0,3.0,10.0,,,,,
42,Kirkland Signature,Kirkland Signature Organic Unbleached All Purpose Flour,Organic All Purpose Flour,High-quality organic flour suitable for all baking needs,Baking Ingredients,Costco,,,,1.0,1.0,,,1.0,,,,1.0,,,,1.0
43,Kirkland Signature,Kirkland Signature Unsalted Butter,Unsalted Butter,High-quality unsalted butter perfect for baking recipes,Baking Ingredients,Costco,,,,4.0,,,,4.0,,,,2.0,,,2.0,3.0
44,Clabber Girl,Clabber Girl Double Acting Baking Powder,Baking Powder,Reliable double-acting baking powder for leavening baked goods,Baking Ingredients,Costco,,,,7.0,,,,,,,,8.0,,,,5.0
45,Kirkland Signature,Kirkland Signature Chocolate Chips,Chocolate Chips,Semi-sweet chocolate chips for cookies and other baked treats,Baking Ingredients,Costco,,,,10.0,,,,,,,,,,,,
46,Ghirardelli,Ghirardelli Triple Chocolate Premium Brownie Mix,Brownie Mix,"Convenient mix for making rich, fudgy brownies",Baking Ingredients,Costco,,,,,,,,10.0,,,,9.0,,,,
47,Kirkland Signature,Kirkland Signature Walnut Halves,Walnut Halves,Large bag of walnut halves for adding to baked goods,Baking Ingredients,Costco,,,,,,,,,,,,10.0,,,,10.0
48,Bob's Red Mill,Bob's Red Mill Organic Coconut Flour,Organic Coconut Flour,Organic coconut flour for gluten-free baking.,Baking Ingredients,Costco,2.0,,,,,4.0,2.0,,,,2.0,,,,,
49,Crisco,Crisco Shortening,Crisco Shortening,Versatile shortening for various baking applications.,Baking Ingredients,Costco,,9.0,,,,,,,,,,,,,,
50,King Arthur,King Arthur Organic All-Purpose Flour,King Arthur Flour,A versatile and organic all-purpose flour perfect for baking a wide range of recipes.,Baking Ingredients,Amazon,1.0,,,,,,,,,,,,,,,
51,Ghirardelli,Ghirardelli Premium Baking Cocoa,Ghirardelli Cocoa,Premium unsweetened cocoa powder for rich and flavorful chocolate desserts.,Baking Ingredients,Amazon,3.0,,,2.0,,5.0,3.0,,,,3.0,,,,,
52,Callebaut,Callebaut Belgian Dark Chocolate Callets,Callebaut Chocolate,High-quality Belgian dark chocolate callets for baking and desserts.,Baking Ingredients,Amazon,5.0,,,,,5.0,,,,,10.0,,,,,
53,Hershey's,Hershey's Special Dark Baking Cocoa,Hershey's Cocoa,Special dark cocoa powder for a richer and more intense chocolate flavor.,Baking Ingredients,Amazon,5.0,,,,,,4.0,,,,4.0,,,,,
54,Bob's Red Mill,Bob's Red Mill Gluten Free 1-to-1 Baking Flour,Bob's GF Flour,A gluten-free flour blend designed as a direct replacement for all-purpose flour.,Baking Ingredients,Amazon,6.0,,,,,,,,,,,,,,2.0,9.0
55,Nestle Toll House,Nestle Toll House Semi-Sweet Chocolate Chips,Nestle Chocolate Chips,Classic semi-sweet chocolate chips perfect for cookies and other baked goods.,Baking Ingredients,Amazon,7.0,,5.0,10.0,,,6.0,,,,7.0,9.0,,,,
56,Pillsbury,Pillsbury Best All-Purpose Flour,Pillsbury Flour,A trusted all-purpose flour suitable for a variety of baking needs.,Baking Ingredients,Amazon,4.0,1.0,4.0,,,3.0,4.0,,3.0,3.0,4.0,2.0,,,,
57,King Arthur Baking Company,King Arthur Baking Company All-Purpose Flour,King Arthur Flour,A versatile all-purpose flour perfect for baking a variety of goods.,Baking Ingredients,Amazon,1.0,,,,,1.0,1.0,,,,1.0,,,,,
58,Bob's Red Mill,Bob's Red Mill Organic Unbleached White All-Purpose Flour,Bob's Red Mill Flour,Organic unbleached white flour ideal for all your baking needs.,Baking Ingredients,Amazon,3.0,,,,,1.0,3.0,,,,3.0,,8.0,8.0,,
59,Domino,Domino Premium Pure Cane Granulated Sugar,Domino Sugar,Premium pure cane granulated sugar for all your baking needs.,Baking Ingredients,Amazon,5.0,,,3.0,,,,,,,9.0,,,,,3.0
60,King Arthur Flour,King Arthur All-Purpose Flour,King Arthur Flour,High-quality all-purpose flour preferred by bakers for its strength and texture.,Baking Ingredients,Amazon,1.0,1.0,1.0,,,,,,,,,,,,,
61,Bob's Red Mill,Bob's Red Mill Gluten-Free Rolled Oats,Bob's Red Mill Oats,"Gluten-free oats ideal for baking, known for their quality and purity.",Baking Ingredients,Amazon,,2.0,5.0,,,,,,,,,,,,,
62,Enjoy Life Foods,Enjoy Life Dark Chocolate Morsels,Enjoy Life Chocolate Chips,Dairy-free dark chocolate morsels popular in baking due to their rich flavor.,Baking Ingredients,Amazon,,,8.0,,,,,,,,,,,,,
63,Domino,Domino Brown Sugar,Domino Brown Sugar,High-quality brown sugar known for its consistent taste and texture.,Baking Ingredients,Amazon,,9.0,6.0,,4.0,,,,,,,,,,7.0,
64,Hershey's,Hershey's Unsweetened Cocoa,Hershey's Cocoa,Classic unsweetened cocoa powder used in various baking recipes.,Baking Ingredients,Amazon,,,5.0,,,,,,,,,,,,,
65,Libby's,Libby's 100% Pure Pumpkin,Libby's Pumpkin,Pure pumpkin puree preferred for its quality and taste in pumpkin-based recipes.,Baking Ingredients,Amazon,,3.0,10.0,,9.0,,,,,,,3.0,,,,
66,Quaker Oats,Quaker Oats Old Fashioned Rolled Oats,Quaker Oats,Classic rolled oats suitable for baking and oatmeal recipes.,Baking Ingredients,Amazon,,4.0,6.0,,6.0,,,,7.0,7.0,,,,,3.0,
67,Spectrum,Spectrum Refined Coconut Oil,Spectrum Coconut Oil,Neutral-tasting refined coconut oil used in various baking recipes.,Baking Ingredients,Amazon,,2.0,8.0,,8.0,,,,,,,2.0,,,6.0,
68,Anthony's,Anthony's Organic Coconut Flour,Anthony's Coconut Flour,Popular coconut flour among keto bakers due to its minimal coconut taste.,Baking Ingredients,Amazon,,,10.0,,9.0,,,,,,,,,,,
69,King Arthur,King Arthur All-Purpose Flour,King Arthur Flour,High-quality all-purpose flour ideal for baking cookies and breads.,Baking Ingredients,Amazon,1.0,1.0,9.0,1.0,,,1.0,,,,1.0,,1.0,1.0,1.0,
70,Enjoy Life,Enjoy Life Dark Chocolate Morsels,Enjoy Life Dark Chocolate Chips,Dairy-free dark chocolate chips with a high cacao content.,Baking Ingredients,Amazon,,5.0,7.0,,3.0,,,,,,,,,,,
71,Nielsen-Massey,Nielsen-Massey Vanilla Bean Paste,Nielsen-Massey Vanilla Paste,Thick vanilla paste with visible vanilla bean flecks for enhanced flavor.,Baking Ingredients,Amazon,,6.0,7.0,,6.0,,,,,,,,,,4.0,
72,Valrhona,Valrhona Cocoa Powder,Valrhona Cocoa Powder,"Premium cocoa powder for deep, rich chocolate flavors in baking.",Baking Ingredients,Amazon,,10.0,8.0,,7.0,,,,,,,,,,,
73,King Arthur,King Arthur All-Purpose Unbleached Flour,All-Purpose Flour,High-quality unbleached all-purpose flour for baking,Baking Ingredients,Amazon,,1.0,1.0,1.0,1.0,3.0,,,1.0,1.0,,1.0,3.0,3.0,1.0,1.0
74,Ghirardelli,Ghirardelli Premium Baking Cocoa Unsweetened Cocoa Powder,Baking Cocoa,"Rich, unsweetened cocoa powder for chocolate baked goods",Baking Ingredients,Amazon,,,,2.0,,,,,,,,4.0,,,,4.0
75,Bob's Red Mill,Bob's Red Mill Baking Soda,Baking Soda,Pure aluminum-free baking soda for leavening and cleaning,Baking Ingredients,Amazon,2.0,4.0,,4.0,,,,,4.0,4.0,,5.0,,,,5.0
76,Domino,Domino Pure Cane Granulated Sugar,Granulated Sugar,Fine granulated sugar for baking and sweetening,Baking Ingredients,Amazon,,,,2.0,,,,,,,,4.0,,,,
77,C&H,C&H Pure Cane Powdered Sugar,Powdered Sugar,Finely ground powdered sugar for frostings and glazes,Baking Ingredients,Amazon,,,,9.0,,,,,,,,7.0,,,,
78,Rumford,Rumford Aluminum-Free Baking Powder,Baking Powder,Double-acting aluminum-free baking powder for leavening,Baking Ingredients,Amazon,,,,7.0,,,,,,,,8.0,,,,6.0
79,McCormick,McCormick All Natural Pure Almond Extract,Almond Extract,Pure almond extract for adding nutty flavor to baked goods,Baking Ingredients,Amazon,,,,9.0,,,,,,,,,,,,
80,McCormick,McCormick All Natural Pure Vanilla Extract,McCormick Vanilla Extract,Pure vanilla extract made from premium vanilla beans,Baking Ingredients,Amazon,,,,10.0,,,,,,,,6.0,,,,9.0
81,Bob's Red Mill,Bob's Red Mill Organic Whole Wheat Flour,Bob's Red Mill Flour,"Organic whole wheat flour ideal for breads, muffins, and other baked goods.",Baking Ingredients,Amazon,2.0,5.0,6.0,,,2.0,2.0,,,,2.0,,,,,
82,Pillsbury,Pillsbury Best All Purpose Flour,Pillsbury Flour,All-purpose flour great for baking and general cooking needs.,Baking Ingredients,Amazon,4.0,,,2.0,,4.0,1.0,,1.0,1.0,4.0,,,,,
83,Great Value,Great Value Organic Coconut Flour,Great Value Coconut Flour,Budget-friendly organic coconut flour for keto baking.,Baking Ingredients,Amazon,,,9.0,,8.0,,,,,,,,,,8.0,
84,See's Candies,See's Candies Gourmet Chocolate Chips,See's Candies Chocolate Chips,Melty and oversized gourmet chocolate chips for superior flavor.,Baking Ingredients,Amazon,,,7.0,,,,,,,,,,,,,
85,Valrhona,Valrhona Dark Chocolate Cocoa Powder,Valrhona Cocoa Powder,"Decadent dark chocolate cocoa powder for rich, velvety bakes.",Baking Ingredients,Amazon,,,9.0,,,,,,,,,,,,,
86,Enjoy Life,Enjoy Life Semi-Sweet Dark Chocolate Morsels,Enjoy Life Dark Chocolate Chips,"Dairy-free, high-cacao chocolate chips ideal for baking.",Baking Ingredients,Amazon,,2.0,,,,,,,,,,,,,2.0,
87,Domino,Domino Dark Brown Sugar,Domino Brown Sugar,High-quality brown sugar for baking with good texture and taste.,Baking Ingredients,Amazon,,5.0,,,,,,,,,,,,,5.0,
88,See's Candies,See's Candies Chocolate Chips,See's Chocolate Chips,Extra melty and delicious chocolate chips for baking.,Baking Ingredients,Amazon,,8.0,,,,,,,,,,,,,,
89,Runamok,Runamok Pure Maple Syrup,Runamok Maple Syrup,"High-quality, pure maple syrup for baking and cooking.",Baking Ingredients,Amazon,,9.0,,,,,,,,,,,,,,
90,Jacobsen Co.,Jacobsen Co. Wildflower Honey,Jacobsen Co. Honey,Rich and sweet wildflower honey for baking and cooking.,Baking Ingredients,Amazon,,10.0,,,,,,,,,,,,,,
91,Wilton,Wilton Meringue Powder,Wilton Meringue Powder,Dried egg white powder for making meringues and royal icing,Baking Ingredients,Amazon,,,,9.0,,,,,,,,,,,,
92,Nielsen-Massey,"Nielsen-Massey Madagascar Bourbon Pure Vanilla Extract, 4 oz",Nielsen-Massey Vanilla Extract,Gourmet Madagascar Bourbon vanilla extract for enhancing your baked goods.,Baking Ingredients,Amazon,3.0,,,,,6.0,,,,,,,6.0,6.0,,
93,Anthony's,"Anthony's Organic Almond Flour, 2 lbs",Anthony's Almond Flour,Blanched almond flour that is gluten-free and great for low-carb baking.,Baking Ingredients,Amazon,4.0,,,,,,,,,,,,,,,
94,Swerve,"Swerve Granular Sweetener, 12 oz",Swerve Granular Sweetener,A zero-calorie sugar replacement perfect for keto and low-carb baking.,Baking Ingredients,Amazon,6.0,,,,,,,,,,,,,,,
95,Hodgson Mill,"Hodgson Mill Active Dry Yeast, 3 Packets",Hodgson Mill Dry Yeast,Reliable active dry yeast for all your bread-making needs.,Baking Ingredients,Amazon,7.0,,,,,,,,,,,,,,,
96,Wholesome Sweeteners,"Wholesome Sweeteners Organic Cane Sugar, 10 lbs",Wholesome Organic Cane Sugar,Organic cane sugar that is ethically sourced and perfect for baking.,Baking Ingredients,Amazon,8.0,,,,,,,,,,,,,,,
97,Calumet,"Calumet Baking Powder, 8.1 oz",Calumet Baking Powder,Double-acting baking powder for consistent rising in your baked goods.,Baking Ingredients,Amazon,9.0,,,,,,,,,,,,,,,
98,King Arthur Baking Company,"King Arthur All-Purpose Flour, 5 lbs",King Arthur Flour,A versatile all-purpose flour perfect for baking a variety of goods.,Baking Ingredients,Amazon,1.0,,,,,1.0,1.0,,,,1.0,,,,,
99,Hershey's,"Hershey's Unsweetened Cocoa Powder, 8 oz",Hershey's Cocoa,Classic unsweetened cocoa powder for baking and hot chocolate.,Baking Ingredients,Amazon,4.0,,,,,6.0,,,,,4.0,,,,5.0,
100,Red Star,"Red Star Active Dry Yeast, 3 Packets",Red Star Yeast,Reliable active dry yeast for bread and dough recipes.,Baking Ingredients,Amazon,,,,,,,,,,,5.0,,,,,
101,McCormick,"McCormick Pure Vanilla Extract, 2 fl oz",McCormick Vanilla Extract,Pure vanilla extract to enhance the flavor of your baked goods.,Baking Ingredients,Amazon,,,,,,,,,,,7.0,,,,,
102,Fleischmann's,"Fleischmann's Instant Dry Yeast, 16 oz",Fleischmann's Yeast,Instant dry yeast for quick and easy baking.,Baking Ingredients,Amazon,9.0,,,,,7.0,,,,,9.0,,,,,
103,Bob's Red Mill,Bob's Red Mill Coconut Sugar,Bob's Red Mill Coconut Sugar,"Finely ground coconut sugar, suitable for baking and cooking.",Baking Ingredients,Amazon,,8.0,3.0,,,,,,,,,,,,,
104,Anthony's,Anthony's Coconut Flour,Anthony's Coconut Flour,"Trusted brand for coconut flour, often used in keto baking.",Baking Ingredients,Amazon,,,10.0,,,,,,,,,,,,,
105,King Arthur Baking Company,King Arthur All-Purpose Unbleached Flour,King Arthur Flour,High-quality all-purpose unbleached flour perfect for baking.,Baking Ingredients,Target,1.0,,,,,1.0,1.0,,,,,,,,,
106,Ghirardelli,Ghirardelli Premium Baking Semi-Sweet Chocolate Chips,Ghirardelli Chocolate Chips,Premium chocolate chips for rich and flavorful baking.,Baking Ingredients,Target,5.0,,,,,,,,,,,,,,,
107,Nestle Toll House,Nestle Toll House Semi-Sweet Chocolate Morsels,Nestle Chocolate Morsels,Classic semi-sweet chocolate chips for cookies and more.,Baking Ingredients,Target,,,,,,5.0,6.0,,,,10.0,,,,,
108,Betty Crocker,Betty Crocker Super Moist Cake Mix,Betty Crocker Cake Mix,Easy-to-make cake mix for moist and delicious cakes.,Baking Ingredients,Target,6.0,,,,,7.0,,,,,8.0,,2.0,2.0,,
109,Duncan Hines,Duncan Hines Perfectly Moist Cake Mix,Duncan Hines Cake Mix,Moist cake mix for a perfect homemade cake experience.,Baking Ingredients,Target,,,,,,,,,,,9.0,,,,,
110,Good & Gather,Semi Sweet Chocolate Morsels - 12oz,Semi Sweet Chocolate Morsels,A popular baking ingredient for chocolate chip cookies.,Baking Ingredients,Target,,,1.0,,,,,,,,,,,,,
111,Nestle Toll House,Semi-Sweet Chocolate Chips for Baking - 12oz,Semi-Sweet Chocolate Chips,Classic chocolate chips for various baked goods.,Baking Ingredients,Target,,,2.0,,,,,,,,,,,,,
112,Good & Gather,Light Brown Sugar - 2lbs,Light Brown Sugar,"Essential ingredient for cakes, cookies, and desserts.",Baking Ingredients,Target,,,3.0,,,,,,,,,,,,,
113,Good & Gather,Baking Soda - 16oz,Baking Soda,A must-have for leavening baked goods like cakes and cookies.,Baking Ingredients,Target,,,4.0,,,,,,,,,,,,,
114,Bob's Red Mill,Organic Whole Wheat Flour - 5lbs,Organic Whole Wheat Flour,High-quality flour for healthier baking options.,Baking Ingredients,Target,,,5.0,,,,,,,,,,,,,
115,Good & Gather,Powdered Sugar - 2lbs,Powdered Sugar,Ideal for frosting and decorating baked goods.,Baking Ingredients,Target,,,6.0,,,,,,,,,,,,,
116,Arm & Hammer,Pure Baking Soda Bag - 3lb,Baking Soda Bag,Large quantity of baking soda for frequent bakers.,Baking Ingredients,Target,,,7.0,,,,,,,,,,,,,
117,Clabber Girl,Gluten Free Double Acting Baking Powder - 8.1oz,Gluten Free Baking Powder,Suitable for gluten-free baking recipes.,Baking Ingredients,Target,,,8.0,,,,,,,,,,,,,
118,Fleischmann's,Active Dry Yeast - 4oz,Active Dry Yeast,Essential for leavening yeast-based baked goods.,Baking Ingredients,Target,,,9.0,,,,,,,,,,,,,
119,Toll House,Gluten Free Milk Chocolate & Peanut Butter Flavored Baking Morsels - 11oz,Gluten Free Milk Chocolate Morsels,Flavored morsels for gluten-free baking recipes.,Baking Ingredients,Target,,,10.0,,,,,,,,,,,,,
120,Good & Gather,Good & Gather Semi Sweet Chocolate Morsels,Semi Sweet Chocolate Morsels,Semi-sweet chocolate chips for baking.,Baking Ingredients,Target,,4.0,1.0,,,,,,,,,3.0,,,,
121,Nestle,Nestle Toll House Semi-Sweet Chocolate Chips for Baking,Toll House Semi-Sweet Chocolate Chips,Classic semi-sweet chocolate chips for baking.,Baking Ingredients,Target,,2.0,,,,,,,,,,,,,,
122,Good & Gather,Good & Gather Milk Chocolate Morsels,Milk Chocolate Morsels,Milk chocolate chips for baking.,Baking Ingredients,Target,,3.0,,,,,,,,,,2.0,,,,
123,Good & Gather,Good & Gather White Baking Morsels,White Baking Morsels,White chocolate chips for baking.,Baking Ingredients,Target,,2.0,3.0,,,,,,,,,6.0,,,,
124,Good & Gather,Good & Gather Double Acting Baking Powder,Double Acting Baking Powder,Baking powder for leavening baked goods.,Baking Ingredients,Target,,6.0,7.0,,,,,,,,,,,,,
125,Good & Gather,Good & Gather Baking Soda,Baking Soda,Baking soda for baking and cooking.,Baking Ingredients,Target,,4.0,9.0,,,,,,,,,,,,,
126,Clabber Girl,Clabber Girl Gluten Free Double Acting Baking Powder,Gluten Free Baking Powder,Gluten-free baking powder for leavening.,Baking Ingredients,Target,,9.0,8.0,,,,,,,,,,,,,
127,King Arthur,King Arthur Baking Sugar Alternative,King Arthur Sugar Alternative,A no-calorie sugar alternative ideal for baking.,Baking Ingredients,Target,2.0,,,,,,,,,,,,,,,
