Run,Model Rank,Product Name,Prompt,Timestamp,URL,Rank in URL
9,3,Starbucks Via Instant True North Blend,top recommended instant coffee in Canada,2025-04-25 18:27:45,https://cornercoffeestore.com/best-instant-coffees-canada/,3
9,4,Nescafé Gold Espresso Instant Coffee,top recommended instant coffee in Canada,2025-04-25 18:27:50,https://cornercoffeestore.com/best-instant-coffees-canada/,4
9,5,Nescafé Rich Instant Coffee,top recommended instant coffee in Canada,2025-04-25 18:28:28,https://cornercoffeestore.com/best-instant-coffees-canada/,5
10,1,Tim Hortons Instant Coffee,"recommend some best instant coffee in Canada",2025-04-25 18:43:13,https://cornercoffeestore.com/best-instant-coffees-canada/,1
10,2,Maxwell House Original Roast,"recommend some best instant coffee in Canada",2025-04-25 18:43:15,https://cornercoffeestore.com/best-instant-coffees-canada/,2
10,3,Starbucks Via Instant True North Blend,"recommend some best instant coffee in Canada",2025-04-25 18:43:18,https://cornercoffeestore.com/best-instant-coffees-canada/,3
10,4,Mount Hagen Organic Fair Trade,"recommend some best instant coffee in Canada",2025-04-25 18:43:31,https://www.homegrounds.co/best-instant-coffee/,1
10,5,Nescafé Rich Instant Coffee,"recommend some best instant coffee in Canada",2025-04-25 18:43:21,https://cornercoffeestore.com/best-instant-coffees-canada/,4
11,1,Tim Hortons Instant Coffee,"recommend some best instant coffee in Canada",2025-04-25 18:44:18,https://cornercoffeestore.com/best-instant-coffees-canada/,1
11,2,Maxwell House Original Roast,"recommend some best instant coffee in Canada",2025-04-25 18:44:19,https://cornercoffeestore.com/best-instant-coffees-canada/,2
11,3,Starbucks Via Instant True North Blend,"recommend some best instant coffee in Canada",2025-04-25 18:44:23,https://cornercoffeestore.com/best-instant-coffees-canada/,3
11,4,Mount Hagen Organic Fair Trade,"recommend some best instant coffee in Canada",2025-04-25 18:44:24,https://www.homegrounds.co/best-instant-coffee/,1
11,5,Nescafé Rich Instant Coffee,"recommend some best instant coffee in Canada",2025-04-25 18:44:27,https://cornercoffeestore.com/best-instant-coffees-canada/,4
12,1,Tim Hortons Instant Coffee,"recommend some best instant coffee in Canada",2025-04-25 18:44:54,https://cornercoffeestore.com/best-instant-coffees-canada/,1
12,2,Maxwell House Original Roast,"recommend some best instant coffee in Canada",2025-04-25 18:44:55,https://cornercoffeestore.com/best-instant-coffees-canada/,2
12,3,Starbucks Via Instant True North Blend,"recommend some best instant coffee in Canada",2025-04-25 18:44:56,https://cornercoffeestore.com/best-instant-coffees-canada/,3
12,4,Mount Hagen Organic Fair Trade,"recommend some best instant coffee in Canada",2025-04-25 18:44:58,https://www.homegrounds.co/best-instant-coffee/,1
12,5,Nescafé Rich Instant Coffee,"recommend some best instant coffee in Canada",2025-04-25 18:45:01,https://cornercoffeestore.com/best-instant-coffees-canada/,4
